Arrest Date,1 Convicted Criminal,2 Pending Criminal Charges,3 Other Immigration Violator,1 Convicted Criminal (7-day avg),2 Pending Criminal Charges (7-day avg),3 Other Immigration Violator (7-day avg)
2024-10-04,2.0,0.0,3.0,1.7142857142857142,0.8571428571428571,3.0
2024-10-05,0.0,0.0,0.0,1.5714285714285714,0.8571428571428571,3.0
2024-10-06,0.0,0.0,0.0,1.5714285714285714,0.8571428571428571,3.0
2024-10-07,2.0,0.0,3.0,1.7142857142857142,0.5714285714285714,2.857142857142857
2024-10-08,5.0,1.0,2.0,2.142857142857143,0.5714285714285714,2.857142857142857
2024-10-09,1.0,5.0,1.0,2.0,1.2857142857142858,2.0
2024-10-10,2.0,2.0,7.0,1.7142857142857142,1.1428571428571428,2.2857142857142856
2024-10-11,4.0,0.0,2.0,2.0,1.1428571428571428,2.142857142857143
2024-10-12,1.0,0.0,0.0,2.142857142857143,1.1428571428571428,2.142857142857143
2024-10-13,0.0,0.0,0.0,2.142857142857143,1.1428571428571428,2.142857142857143
2024-10-14,0.0,0.0,0.0,1.8571428571428572,1.1428571428571428,1.7142857142857142
2024-10-15,0.0,4.0,9.0,1.1428571428571428,1.5714285714285714,2.7142857142857144
2024-10-16,4.0,2.0,5.0,1.5714285714285714,1.1428571428571428,3.2857142857142856
2024-10-17,3.0,1.0,0.0,1.7142857142857142,1.0,2.2857142857142856
2024-10-18,1.0,0.0,4.0,1.2857142857142858,1.0,2.5714285714285716
2024-10-19,0.0,0.0,0.0,1.1428571428571428,1.0,2.5714285714285716
2024-10-20,0.0,0.0,0.0,1.1428571428571428,1.0,2.5714285714285716
2024-10-21,1.0,5.0,21.0,1.2857142857142858,1.7142857142857142,5.571428571428571
2024-10-22,3.0,3.0,5.0,1.7142857142857142,1.5714285714285714,5.0
2024-10-23,3.0,1.0,4.0,1.5714285714285714,1.4285714285714286,4.857142857142857
2024-10-24,1.0,1.0,6.0,1.2857142857142858,1.4285714285714286,5.714285714285714
2024-10-25,1.0,0.0,2.0,1.2857142857142858,1.4285714285714286,5.428571428571429
2024-10-26,0.0,0.0,0.0,1.2857142857142858,1.4285714285714286,5.428571428571429
2024-10-27,0.0,0.0,0.0,1.2857142857142858,1.4285714285714286,5.428571428571429
2024-10-28,2.0,4.0,3.0,1.4285714285714286,1.2857142857142858,2.857142857142857
2024-10-29,1.0,0.0,7.0,1.1428571428571428,0.8571428571428571,3.142857142857143
2024-10-30,2.0,0.0,9.0,1.0,0.7142857142857143,3.857142857142857
2024-10-31,1.0,0.0,16.0,1.0,0.5714285714285714,5.285714285714286
2024-11-01,2.0,0.0,0.0,1.1428571428571428,0.5714285714285714,5.0
2024-11-02,0.0,0.0,1.0,1.1428571428571428,0.5714285714285714,5.142857142857143
2024-11-03,0.0,0.0,0.0,1.1428571428571428,0.5714285714285714,5.142857142857143
2024-11-04,1.0,0.0,15.0,1.0,0.0,6.857142857142857
2024-11-05,2.0,0.0,4.0,1.1428571428571428,0.0,6.428571428571429
2024-11-06,1.0,4.0,10.0,1.0,0.5714285714285714,6.571428571428571
2024-11-07,3.0,0.0,5.0,1.2857142857142858,0.5714285714285714,5.0
2024-11-08,1.0,2.0,0.0,1.1428571428571428,0.8571428571428571,5.0
2024-11-09,0.0,0.0,0.0,1.1428571428571428,0.8571428571428571,4.857142857142857
2024-11-10,0.0,0.0,0.0,1.1428571428571428,0.8571428571428571,4.857142857142857
2024-11-11,0.0,0.0,0.0,1.0,0.8571428571428571,2.7142857142857144
2024-11-12,5.0,0.0,7.0,1.4285714285714286,0.8571428571428571,3.142857142857143
2024-11-13,2.0,1.0,11.0,1.5714285714285714,0.42857142857142855,3.2857142857142856
2024-11-14,2.0,2.0,3.0,1.4285714285714286,0.7142857142857143,3.0
2024-11-15,2.0,1.0,4.0,1.5714285714285714,0.5714285714285714,3.5714285714285716
2024-11-16,0.0,0.0,0.0,1.5714285714285714,0.5714285714285714,3.5714285714285716
