"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36047004500","Census Tract 45; Kings County; New York","3547","612",
"1400000US36047004600","Census Tract 46; Kings County; New York","1175","252",
"1400000US36047004700","Census Tract 47; Kings County; New York","2001","315",
"1400000US36047004900","Census Tract 49; Kings County; New York","2875","418",
"1400000US36047005000","Census Tract 50; Kings County; New York","2542","318",
"1400000US36047005100","Census Tract 51; Kings County; New York","2425","549",
"1400000US36047005201","Census Tract 52.01; Kings County; New York","1713","240",
"1400000US36047005202","Census Tract 52.02; Kings County; New York","2784","315",
"1400000US36047005301","Census Tract 53.01; Kings County; New York","2262","405",
"1400000US36047005302","Census Tract 53.02; Kings County; New York","111","103",
